method,metric,p1_seed_values,p2_seed_values,blockage_%,p1_value,p1_seed_std,p2_value,p2_seed_std,delta_pp,delta_seed_std
BL-AG,primary,123+456+789,123+456+789,0,98.422222,0.117063,98.522222,0.143694,-0.100000,0.104083
BL-AG,primary,123+456+789,123+456+789,20,93.544445,0.429901,93.166667,0.360940,0.377778,0.135742
BL-AG,primary,123+456+789,123+456+789,40,86.444444,0.034694,84.883333,0.338296,1.561111,0.318997
BL-AG,primary,123+456+789,123+456+789,60,78.661111,2.503571,77.583333,1.235246,1.077778,2.975144
BL-AG,primary,123+456+789,123+456+789,80,71.794444,5.322707,72.433334,2.626944,-0.638889,6.581420
BL-AG,primary,123+456+789,123+456+789,100,65.727778,8.099594,69.222222,3.390605,-3.494444,8.948935
BL-AW,primary,123+456+789,123+456+789,0,98.422222,0.117063,98.522222,0.143694,-0.100000,0.104083
BL-AW,primary,123+456+789,123+456+789,20,98.377778,0.094770,98.294444,0.276050,0.083333,0.344400
BL-AW,primary,123+456+789,123+456+789,40,98.194445,0.125093,98.344444,0.019245,-0.150000,0.125831
BL-AW,primary,123+456+789,123+456+789,60,98.088889,0.063099,98.183333,0.044096,-0.094444,0.019245
BL-AW,primary,123+456+789,123+456+789,80,97.977778,0.050917,98.166667,0.083334,-0.188889,0.034695
BL-AW,primary,123+456+789,123+456+789,100,98.094444,0.138778,98.027778,0.075154,0.066667,0.212786
FT:freeze_cnn,primary,123+456+789,123+456+789,0,98.422222,0.117063,98.522222,0.143694,-0.100000,0.104083
FT:freeze_cnn,primary,123+456+789,123+456+789,20,97.288889,0.176646,97.294444,0.443888,-0.005555,0.504516
FT:freeze_cnn,primary,123+456+789,123+456+789,40,96.627778,0.205706,96.522222,0.711870,0.105555,0.846780
FT:freeze_cnn,primary,123+456+789,123+456+789,60,96.144444,0.362221,95.555556,0.830216,0.588889,1.083505
FT:freeze_cnn,primary,123+456+789,123+456+789,80,95.627778,0.546792,94.988889,0.798320,0.638889,1.285099
FT:freeze_cnn,primary,123+456+789,123+456+789,100,95.455556,0.409720,94.200000,0.991772,1.255556,1.372582
